text,createTime
"gais jangan jahat² lah kalau berkomentar, beliau melakukan hal seperti ini aja masih banyak cacian, be smart gais...",1764926384
"ingat,apapun yang dilakukan sama pak wapres, bakalan tetap salah dimata sang pembenci 😌",1764922405
"gk datang di hujat.. pas datang juga tetap di hujat, hadehhh",1764940350
"Regardless of how much people hate on him, but from what I see, he's doing his job. Mau dibilang bare minimum kek, ""emang udah kewajibannya"", pencitraan, etc pointnya beliau tetap turun dan berusaha menjalankan tugas dan tanggung jawabnya, mungkin banyak attitude atau perkataan serta keputusan yg kurang bisa diterima, but in this situation if he doesn't have the heart, the empathy, he won't go down there. We can criticize, we can dislike people that much, you don't have to love or praise them but don't let the hatred blind us to see the good side of everyone, everything. Kebanyakan kita juga belum punya kesempatan untuk terjun langsung untuk membantu saudara2 kita di sana. Doakan saja mereka2 yang bertugas apapun itu untuk jd perpanjangan Tuhan membantu orang2 yg sedang menderita ini, supaya tepat sasaran, supaya semua terbantukan.🙏🏻✨️",1764931512
"Gx kerja di hujat, kerja makin dihujat🤣😂 semua akan salah dimata netizen",1764925661
"dari pemerintahan turun kelapangan dihujat
ga turun ke lapangan dihujat
bikin solusi dihujat
ga bikin juga dihujat
intinya apa aja salah kata gue mah",1764928135
ga bela siapa2 tapi biasanya yg diatasnya kerjanya udah bener kadang bawahannya yg bikin onar dan yg disalahin presiden dan wapresnya padahal mereka kerjanya udh semaksimal mungkin,1764936447
"wapres sblmnya ga keliatan kerja di hujat,yg skrg kerja pun di hujat... trus maunya gimana😹",1764938902
"btw aku coblos 03 kemarin tapi pemilu udh selesai jadi udahlah bawa"" pemilu lagi, dan walaupun kalian banyak yang bilang ""its a bare minimum"" tapi aku tetep bakal apresiasi wapres kita sekarang karena seingatku wapres yang sering muncul bantu presiden ya beliau, ngewakilin kunjungan ke luar negeri dsb. ini emang tugas mereka sebagai pejabat negara tapi gafa salahnya menghargai dan mengapresiasi kok",1764929285
"that's a bare minimum he should do for us (rakyat), but honestly i don't think that he'll do something even he take notes on it.",1764931679
"KERJA DIBILANG PENCITRAAN, GAK KERJA DIBILANG GAK PEDULI MASYARAKAT. yang gak setuju silahkan berdebat dengan saya",1764943799
setidaknya dia ga akting manggul beras dan ga make rompi anti peluru guysss 😭😭,1765075496
"mas wapres selalu salah di mata Rakyat nya😭😭😭, hnya di Indonesia Wapres di hina, du rendahkan😭",1764930362
"siapapun pemimpinnya, apapun kegiatannya, namanya pembenci akan membenci semua hal. setidaknya dia mendengarkan dan terjun langsung drpd mereka2 yg hanya bisa komentar",1764926937
"Apapun yg dilakukan, semua akan salah dimata seorang pembenci. 🙃",1765081354
"heran pada hujat pak Gibran, padahal baru ini wapres yg kerjanya keliatan🤣",1764973930
"@your.jenniekim 🌙:Padahal dia cuma bertugas sesuai kapasitas dia , tp kenapa byk yg gasuka bahkan ngehina dia ? Apa manusia skrg udh ga punya hati dan empati?",1764930198
saking jarangnya liat pejabat begini..kita JD nangis ya wkwkw,1764934734
Sumpah di x overhate bgttt soal wapres😭😭😭,1765082947
"gesss... beliau udah dateng aja itu udah sangat amat luar biasa, karena kalian nggak tau gimana padatnya jadwal beliau, kalau mau dipikir ni ya bahawan beliau banyak nggak perlu turun langsung kelapangan, tapi karena beliau punya rasa pedul(Insya Allah), jadi beliau yang turun langsung kelapangan😁ayo ubah pola pikir supaya SDM Indonesia itu bisa berkualitas.",1764944284
Taktik untuk panen suara tahun 2029,1764939918
"“sebaik apapun kita, tidak akan pernah terlihat di mata orang yang membencimu”. sehat sehat pak gibran",1764928568
"ga ngebela siapa² tapi... sakit ni negara, pemerintah turun malah dihujat giliran ga turun pada protes ""pejabat kerjanya apasi""",1764929016
"iya bare minimum klo gibran yg lakuin, klo anis yg lakuin mah udah di puja pujaa ini kwkwkwkwk🙏🏻🙏🏻🙏🏻🙏🏻",1765066201
wapres tahun ini berguna banget . sampe gak ingat kapan trakhir kali punya wapress 😭,1764926642
"@ridhooo:Pas baca komen, memang harus ganti rakyat",1764927059
"Kerja dihujat, ga kerja dihujat, emang paling bener dah ganti rakyat nya 🗿",1765008768
PADAHAL JARANG BGT NEMUIN PEJABAT YG KAYAK GINI MASIH ADA AJA YG NGEHUJAT😌ASLI KALIAN PENGEN PIMPINAN YG KEK APA SIHHHHHH SEBENERNYA . DIKIRA GAMPANG JADI PEMIMPIN,1764978801
pemimpin setempat malah umroh. wapres aja turun ke lapangan 😪,1764993531
Siapa yang setuju ganti rakyatttttttt?????🤟🤟🤟🤟,1764945786
"indonesia kudu ganti rakyat emg, giliran pejabat bener, tetep aja disalahin",1764927350
orang sebaik ini masih ada aja yang hujat 🥲,1764934552
"Disini keliatan bgt kenapa dia yg jadi Wapres , karena secara mental fisik dll dia sangat kuat ngadepin rakyat dilapangan maupun di medsos 🙂",1765082007
semua anak anak menyukai gibran kecuali anak abah 😎,1764941031
dia dari tatapannya bner2 dngerin omongan warga loh . ngga cuma mangut2,1764948122
emang paling bener tuhh ganti rakyat🗿,1764925820
kalo uda benci ya semua kebaikan emg ketutup guys🙏🏻,1764930619
"yg namanya org gasuka pasti ada aja, kalo aku selama pejabat itu melakukan aksi daripada sekedar omongan aku bakal respect, dan ga cuma pencitraan",1764924381
"YANG PENTING KERJA, BUKAN BILANG GA SANGGUP TERUS BERANGKAT UMROH SAMBIL RAYAIN ULANG TAHUN",1764931053
bahkan pada saat ada bencana pun pembenci akan tetap melihat orang yang dia benci melakukan kesalahan,1765076281
d ksh capres yg bener malah d hujat.. dl capres g ada yg keliatan klo ada bencana pd diem2 aja...,1764943535
"Ga gerak salah, lagi gerak juga salah. Emang aja manusia tempatnya ngoreksi manusia lain. Diliatin dulu aja gitu loh, kalo misalkan isi catatannya ga ada actionnya baru dah rujak.",1764939070
"pada ngomong bare minimum bare minimum, ntar kalo dia kasih yang lebih dari bare minimum dibilangnya pencitraan😌",1764934648
bare minimum doang udah kaya abis ngapain aja yg muja muja nih,1764925196
"bare minimum anjir, ya tuhasnya jadi wapres kan emang gitu? kenapa pada kaya nganggep itu spesial dah",1764926924
"it's a bare minimum sebagai pejabat anjr, jangan di romanticizing lah wkwk",1764926724
"ah elah 😭 itu bare minimum, gak se wow itu anjir",1764926749
"mie ayam 1, es teh 1",1765075788
Serba salah ya jadi beliau,1764929133
"klo gibran dibilang bare minimum, coba klo pujaannya udah di bangga2in sambil jelek2in yg lain pasti😭",1764927714
meskipun aq ga milih Gibran..tapi Klo dia datang kedaerah bgini dengan nyatet2 keluhan..jangan dihujat lah guys... biarin aja . doakan dia amanah memenuhi keluhan2 rakyat yg dia tulis itu.. 🙏,1764933035
"ga sanggup baca komenan di X, sakit hati bgt bacanya",1764931131
orang penting no 2 di Indonesia aja ga pake rompi anti peluru 🗿,1764925408
"yakalo tau ini bare minimum berarti beliau udh bertugas dgn benar donggg, ayo apresiasi kenpa malah cari kesalahan? 🤗 Makasii ya pa wapres, smg bencana disumatera sana bisa segera diatasi, segera dapat pulih lagi, aman, sehat seperti sedia kala. Buat korban smg diberi kesabaran yg lebih-lebih lagi, digantikan dengan rezeki yg tak terhingga oleh Tuhan YME, disehatkan dan permudah semua urusannya. Semoga tidak ada bencana lagi dibgian Indonesia manapun, Aamiin yra",1764931252
"fix kita yg harus ganti rakyat,wapres mau langsung turun aja ga luput dari hujatan😭😭",1764931237
"Rasullullah aja banyak yg hujat, apalagi gibran 🙏",1764939570
"lihat, dia ngga pake rompi anti peluru dan beras dgn foto segede gaban😔😔",1764949919
"ga didatengin dirujak
didatengin dikatain juga, mau kalian apa si anjir 😭",1764928653
Dia berusaha jdi lebih baik apa salahnya,1764946104
ITU EMANG TUGAS DAN BARE MINIMUM SEBAGAI WAPRES ORANG YG GAJI DIA RAKYAT 🤣,1764925377
"dia masih terlihat kecil di mata pembenci , tp ingat yg memberi rezeki itu Allah dan iya di tunjuk langsung oleh Allah untuk jadi wakil pemimpin. .",1764926770
kok heran sehh jadi gibran banyak serba salah muluh kek nya ni netizen or rakyat ganti ahh peningg pala 😭,1764937023
padahal keliatan bgt kalo gibran tulus org nya😭,1764928436
"capek bgt ga sih? badan capek mental juga capek dia tuh.
ngadepin rakyat yg udh diusahain pun masih tetap salah.",1765086893
"Dia sendiri loh yg nyatet, gak nyuruh ajudannya..👍🏼",1765070574
udah sebaik ini tetep dihujat emang harus ganti rakyat keknya,1764936252
"GA KERJA SALAH, KERJA SALAH, KERJA GAADA HASIL SALAH, KERJA HASIL BAGUS SALAH.",1764929918
