emoji,unicode,aliases_all
💀,💀,"tengkorak_dongeng_mati_mayat_monster_muka_wajah"
☠️,☠️,"tengkorak_dan_tulang_kematian_monster_wajah"
💩,💩,"kotoran_muka_tahi_tinja_wajah"
🤡,🤡,"badut_konyol_lucu_muka_wajah"
👹,👹,"wajah_monster_dongeng_fantasi_makhluk"
👺,👺,"topeng_hidung_panjang_fantasi_khayalan_makhluk_monster_wajah"
👻,👻,"hantu_arwah_dongeng_fantasi_monster_muka_wajah"
👽,👽,"alien_ekstraterestrial_fantasi_makhluk_ufo_wajah"
👾,👾,"monster_alien_ekstraterestrial_makhluk_ufo_wajah"
🤖,🤖,"robot_monster_muka_wajah"
😺,😺,"wajah_kucing_tersenyum_lebar_muka_mulut_senyum_terbuka"
😸,😸,"wajah_kucing_gembira_dengan_mata_bahagia_muka_senyum_seringai"
😹,😹,"wajah_kucing_gembira_berurai_air_mata_bahagia_muka_senang"
😻,😻,"wajah_kucing_gembira_bermata_hati_cinta_mata_muka_senyum"
😼,😼,"wajah_kucing_tersenyum_sombong_ejek_muka_senyum_sinis"
😽,😽,"wajah_kucing_memberikan_ciuman_dengan_mata_tertutup_cium_muka"
🙀,🙀,"wajah_kucing_ketakutan_kaget_lelah_muka_oh_takut"
😿,😿,"wajah_kucing_menangis_air_mata_muka_nangis_sedih"
😾,😾,"wajah_kucing_marah_muka"
🙈,🙈,"tidak_melihat_dilarang_jahat_lihat_monyet_wajah"
🙉,🙉,"tidak_mendengar_dengar_dilarang_jahat_monyet_wajah"
🙊,🙊,"tidak_bicara_dilarang_jahat_monyet_berbicara_wajah"
💋,💋,"tanda_ciuman_bibir_cium_hati_romantis"
💌,💌,"surat_cinta_hati_romantis"
💘,💘,"hati_terpanah_asmara_panah_romantis"
💝,💝,"hati_berpita_pita_valentine"
💖,💖,"hati_bersinar_bahagia"
💗,💗,"hati_membesar_deg_detak_gembira_gugup_jantung"
💓,💓,"hati_berdetak_denyut_detak_jantung"
💞,💞,hati_berputar
💕,💕,"dua_hati_cinta"
💟,💟,dekorasi_hati
❣️,❣️,tanda_seru_berbentuk_hati
💔,💔,"patah_hati_putus"
❤️‍🔥,❤️‍🔥,hati_berapi-api
❤️‍🩹,❤️‍🩹,mengobati_hati_terluka
❤️,❤️,hati_merah
🧡,🧡,hati_oranye
💛,💛,hati_kuning
💚,💚,hati_hijau
💙,💙,hati_biru
💜,💜,hati_ungu
🤎,🤎,hati_cokelat
🖤,🖤,"hati_hitam_jahat_kejam"
🤍,🤍,hati_putih
💯,💯,"nilai_seratus_100_lengkap_skor"
💢,💢,"marah_komik"
💥,💥,"tabrakan_komik_nabrak"
💫,💫,"pusing_bintang_komik"
💦,💦,"keringat_ciprat_komik"
💨,💨,"berlari_kabur_komik_lari"
🕳️,🕳️,"lubang_lobang"
💣,💣,"bom_komik"
💬,💬,"balon_ucapan_dialog_gelembung_komik"
👁️‍🗨️,👁️‍🗨️,mata_di_dalam_gelembung_ucapan
🗨️,🗨️,"gelembung_ucapan_kiri_dialog"
🗯️,🗯️,"gelembung_marah_kanan_balon"
💭,💭,"gelembung_pikiran_balon_komik_mikir_pikir"
💤,💤,"zzz_komik_tidur"
👋,👋,"tangan_melambai_badan_lambai_tubuh"
🤚,🤚,"angkat_tangan_berhenti_jangan_stop"
🖐️,🖐️,"telapak_tangan_terbuka_badan_jari_tos_tubuh"
✋,✋,"telapak_tangan_terbuka_dengan_jari_rapat_badan_tubuh"
🖖,🖖,"salam_vulcan_badan_jari_spock_tangan_tubuh"
👌,👌,"oke_badan_tangan_tubuh"
🤌,🤌,"jari_terkuncup_interogasi_isyarat_tangan_sarkastik"
🤏,🤏,"tangan_menjepit_sejumlah_kecil"
✌️,✌️,"isyarat_kemenangan_badan_jari_menang_tangan_tubuh"
🤞,🤞,"jari_menyilang_beruntung_semoga_hoki_silang"
🤟,🤟,"gerakan_sayang_kamu_ilu_ily_tangan"
🤘,🤘,"lambang_tanduk_badan_jari_tangan_tubuh"
🤙,🤙,"panggil_saya_telepon_aku"
👈,👈,"menunjuk_ke_arah_kiri_badan_jari_tangan_telunjuk_tubuh_tunjuk"
👉,👉,"menunjuk_ke_arah_kanan_badan_jari_tangan_telunjuk_tubuh_tunjuk"
👆,👆,"menunjuk_ke_atas_dibalik_badan_jari_tangan_telunjuk_tubuh_tunjuk"
🖕,🖕,"jari_tengah_tangan"
👇,👇,"menunjuk_ke_bawah_badan_jari_tangan_tengah_tubuh_tunjuk"
☝️,☝️,"menunjuk_ke_atas_badan_jari_tangan_telunjuk_tubuh_tunjuk"
👍,👍,"jempol_ke_atas_+1_badan_tangan_tubuh"
👎,👎,"jempol_ke_bawah_-1_badan_tangan_tubuh"
✊,✊,"tangan_terkepal_ke_atas_badan_kepal_tinju_tubuh"
👊,👊,"tangan_terkepal_ke_depan_badan_kepal_tinju_tonjok_tubuh"
🤛,🤛,"tinju_kiri_kepalan_tangan_tonjok"
🤜,🤜,"tinju_kanan_kepalan_tangan_tonjok"
👏,👏,"tepuk_tangan_badan_tubuh"
🙌,🙌,"mengangkat_tangan_angkat_gerakan_hore_perayaan"
👐,👐,"tangan_terbuka_badan_tubuh"
🤲,🤲,"tangan_diangkat_dan_dirapatkan_bersama_berdoa_doa"
🤝,🤝,"jabat_tangan_salaman_sepakat_setuju"
🙏,🙏,"melipat_tangan_berdoa_bungkuk_gerakan_lipat_makasih_mohon_tolong_tubuh"
✍️,✍️,"tangan_menulis_badan_nulis_tubuh_tulis"
💅,💅,"poles_kuku_cat_kosmetik_manikur_perawatan"
🤳,🤳,"selfie_foto_kamera_ponsel_selfi"
💪,💪,"lengan_berotot_badan_biseps_otot_tubuh"
🦾,🦾,"lengan_robot_aksesibilitas_prostetik"
🦿,🦿,"tungkai_robot_aksesibilitas_prostetik"
🦵,🦵,"tungkai_bagian_tubuh_tendang"
🦶,🦶,"telapak_kaki_injak_tendang"
👂,👂,"telinga_badan_tubuh"
🦻,🦻,"telinga_dengan_alat_bantu_dengar_aksesibilitas_sulit_mendengar_tuli_tunarungu"
👃,👃,"hidung_badan_tubuh"
🧠,🧠,"otak_cerdas_genius_kecerdasan_pintar"
🫀,🫀,"organ_jantung_detak_kardiologi_nadi_tengah"
🫁,🫁,"paru-paru_ekshalasi_inhalasi_napas_organ_respirasi"
🦷,🦷,"gigi_dokter"
🦴,🦴,"tulang_belulang"
👀,👀,"dua_mata_badan_muka_tubuh_wajah"
👁️,👁️,"satu_mata_badan_tubuh"
👅,👅,"lidah_badan_tubuh"
👄,👄,"mulut_badan_bibir_tubuh"
👶,👶,"bayi_muda"
🧒,🧒,"anak_gender_tak_tentu_muda_netral"
👦,👦,"anak_laki-laki_muda"
👧,👧,"anak_perempuan_muda_virgo_zodiak"
🧑,🧑,"dewasa_gender_tak_tentu_netral_orang"
👱,👱,"orang_rambut_pirang_berambut"
👨,👨,"pria_orang_dewasa"
🧔,🧔,orang_janggut
🧔‍♂️,🧔‍♂️,pria_janggut
🧔‍♀️,🧔‍♀️,wanita_janggut
👨‍🦰,👨‍🦰,"pria_rambut_merah_orang_dewasa"
👨‍🦱,👨‍🦱,"pria_rambut_keriting_orang_dewasa"
👨‍🦳,👨‍🦳,"pria_rambut_putih_orang_dewasa"
👨‍🦲,👨‍🦲,"pria_gundul_orang_dewasa"
👩,👩,"wanita_ibu_perempuan"
👩‍🦰,👩‍🦰,"wanita_rambut_merah_ibu_perempuan"
🧑‍🦰,🧑‍🦰,"dewasa_rambut_merah_gender_tak_tentu_netral_orang"
👩‍🦱,👩‍🦱,"wanita_rambut_keriting_ibu_perempuan"
🧑‍🦱,🧑‍🦱,"dewasa_rambut_keriting_gender_tak_tentu_netral_orang"
👩‍🦳,👩‍🦳,"wanita_rambut_putih_ibu_perempuan"
🧑‍🦳,🧑‍🦳,"dewasa_rambut_putih_gender_tak_tentu_netral_orang"
👩‍🦲,👩‍🦲,"wanita_gundul_ibu_perempuan"
🧑‍🦲,🧑‍🦲,"dewasa_gundul_gender_tak_tentu_netral_orang"
👱‍♀️,👱‍♀️,"wanita_berambut_pirang_perempuan_rambut"
👱‍♂️,👱‍♂️,"pria_berambut_pirang_laki-laki_rambut"
🧓,🧓,"lanjut_usia_netral_gender_tua"
👴,👴,"pria_tua_kakek_laki-laki"
👵,👵,"wanita_tua_nenek_perempuan"
🙍,🙍,"orang_marah_gerakan"
🙍‍♂️,🙍‍♂️,"pria_muka_tidak_senang_laki-laki"
🙍‍♀️,🙍‍♀️,"wanita_muka_tidak_senang_perempuan"
🙎,🙎,"orang_tidak_senang_cemberut_gerakan"
🙎‍♂️,🙎‍♂️,"pria_tidak_senang_bibir_laki-laki"
🙎‍♀️,🙎‍♀️,"wanita_tidak_senang_bibir_perempuan"
🙅,🙅,"orang_mengisyaratkan_tidak_dilarang_gerakan_nggak_tangan_terlarang"
🙅‍♂️,🙅‍♂️,"pria_mengisyaratkan_tidak_isyarat_laki-laki"
🙅‍♀️,🙅‍♀️,"wanita_mengisyaratkan_tidak_isyarat_perempuan_tangan"
🙆,🙆,"orang_mengisyaratkan_oke_gerakan_tangan"
🙆‍♂️,🙆‍♂️,"pria_mengisyaratkan_oke_isyarat_laki-laki_tangan"
🙆‍♀️,🙆‍♀️,"wanita_mengisyaratkan_oke_isyarat_perempuan_tangan"
💁,💁,"orang_menengadahkan_tangan_bantuan_informasi_resepsionis"
💁‍♂️,💁‍♂️,"pria_menengadahkan_tangan_bantuan_isyarat_laki-laki"
💁‍♀️,💁‍♀️,"wanita_menengadahkan_tangan_bantuan_isyarat_perempuan"
🙋,🙋,"orang_mengangkat_tangan_angkat_gerakan_senang"
🙋‍♂️,🙋‍♂️,"pria_mengangkat_tangan_angkat_isyarat_laki-laki"
🙋‍♀️,🙋‍♀️,"wanita_mengangkat_tangan_angkat_isyarat_perempuan"
🧏,🧏,"orang_tuli_aksesibilitas_dengar_kuping_telinga_tunarungu"
🧏‍♂️,🧏‍♂️,"pria_tuli_lelaki_tunarungu"
🧏‍♀️,🧏‍♀️,"wanita_tuli_perempuan_tunarungu"
🙇,🙇,"orang_membungkuk_bungkuk_gerakan_maaf_nunduk_sori_tunduk"
🙇‍♂️,🙇‍♂️,"pria_membungkuk_isyarat_laki-laki_maaf"
🙇‍♀️,🙇‍♀️,"wanita_membungkuk_isyarat_maaf_perempuan"
🤦,🤦,"orang_tepuk_jidat_cape_deh_capedeh_capek_yah"
🤦‍♂️,🤦‍♂️,"pria_tepuk_jidat_isyarat_laki-laki_tangan"
🤦‍♀️,🤦‍♀️,"wanita_tepuk_jidat_isyarat_perempuan_tangan"
🤷,🤷,"orang_mengangkat_bahu_bingung_entah_nggak_tahu_tidak"
🤷‍♂️,🤷‍♂️,"pria_mengangkat_bahu_angkat_isyarat_laki-laki"
🤷‍♀️,🤷‍♀️,"wanita_mengangkat_bahu_angkat_isyarat_perempuan"
🧑‍⚕️,🧑‍⚕️,"petugas_kesehatan_dokter_perawat_perawatan_terapis"
👨‍⚕️,👨‍⚕️,"pekerja_kesehatan_pria_dokter_laki-laki_perawatan"
👩‍⚕️,👩‍⚕️,"pekerja_kesehatan_wanita_dokter_perawatan_perempuan"
🧑‍🎓,🧑‍🎓,"murid_kelulusan"
👨‍🎓,👨‍🎓,"sarjana_pria_laki-laki_toga_universitas_wisuda"
👩‍🎓,👩‍🎓,"sarjana_wanita_perempuan_toga_universitas_wisuda"
🧑‍🏫,🧑‍🏫,"guru_dosen_instruktur"
👨‍🏫,👨‍🏫,"pengajar_pria_laki-laki_sekolah"
👩‍🏫,👩‍🏫,"pengajar_wanita_perempuan_sekolah"
🧑‍⚖️,🧑‍⚖️,"hakim_timbangan"
👨‍⚖️,👨‍⚖️,"hakim_pria_hukum_laki-laki_pengadilan"
👩‍⚖️,👩‍⚖️,"hakim_wanita_hukum_pengadilan_perempuan"
🧑‍🌾,🧑‍🌾,"petani_pekebun_peternak"
👨‍🌾,👨‍🌾,"petani_pria_laki-laki_padi_sawah"
👩‍🌾,👩‍🌾,"petani_wanita_padi_perempuan_sawah"
🧑‍🍳,🧑‍🍳,"koki_chef"
👨‍🍳,👨‍🍳,"koki_pria_dapur_laki-laki_memasak"
👩‍🍳,👩‍🍳,"koki_wanita_dapur_memasak_perempuan"
🧑‍🔧,🧑‍🔧,"mekanik_pekerja_terlatih_tukang_ledeng_listrik"
👨‍🔧,👨‍🔧,"montir_pria_laki-laki_perbaikan_tukang"
👩‍🔧,👩‍🔧,"montir_wanita_perbaikan_perempuan_tukang"
🧑‍🏭,🧑‍🏭,"pekerja_pabrik_industri_perakitan"
👨‍🏭,👨‍🏭,"pekerja_pabrik_pria_laki-laki"
👩‍🏭,👩‍🏭,"pekerja_pabrik_wanita_perempuan"
🧑‍💼,🧑‍💼,"pekerja_kantoran_arsitek_bisnis_kerah_putih_manajer"
👨‍💼,👨‍💼,"pekerja_kantor_pria_karyawan_laki-laki"
👩‍💼,👩‍💼,"pekerja_kantor_wanita_karyawan_perempuan"
🧑‍🔬,🧑‍🔬,"ilmuwan_ahli_biologi_fisika_kimia_insinyur"
👨‍🔬,👨‍🔬,"ilmuwan_pria_laboratorium_laki-laki_sains"
👩‍🔬,👩‍🔬,"ilmuwan_wanita_laboratorium_perempuan_sains"
🧑‍💻,🧑‍💻,"ahli_teknologi_pemrogram_penemu_pengembang_perangkat_lunak"
👨‍💻,👨‍💻,"ahli_teknologi_pria_komputer_laki-laki"
👩‍💻,👩‍💻,"ahli_teknologi_wanita_komputer_perempuan"
🧑‍🎤,🧑‍🎤,"penyanyi_aktor_bintang_penghibur_rock"
👨‍🎤,👨‍🎤,"penyanyi_pria_aktor_bintang_penghibur_rock"
👩‍🎤,👩‍🎤,"penyanyi_wanita_aktor_bintang_penghibur_rock"
🧑‍🎨,🧑‍🎨,"seniman_palet"
👨‍🎨,👨‍🎨,"seniman_pria_laki-laki_lukisan_seni"
👩‍🎨,👩‍🎨,"seniman_wanita_lukisan_perempuan_seni"
🧑‍✈️,🧑‍✈️,"pilot_pesawat"
👨‍✈️,👨‍✈️,"pilot_pria_laki-laki_pesawat"
👩‍✈️,👩‍✈️,"pilot_wanita_perempuan_pesawat"
🧑‍🚀,🧑‍🚀,"astronaut_roket"
👨‍🚀,👨‍🚀,"antariksawan_pria_angkasa_luar_laki-laki_roket"
👩‍🚀,👩‍🚀,"antariksawan_wanita_angkasa_luar_perempuan_roket"
🧑‍🚒,🧑‍🚒,"pemadam_kebakaran_truk"
👨‍🚒,👨‍🚒,"pemadam_kebakaran_pria_api_laki-laki"
👩‍🚒,👩‍🚒,"pemadam_kebakaran_wanita_api_perempuan"
👮,👮,"polisi_penegak_hukum"
👮‍♂️,👮‍♂️,"polisi_pria_laki-laki_penegak_hukum"
👮‍♀️,👮‍♀️,"polisi_wanita_penegak_hukum_perempuan"
🕵️,🕵️,"detektif_mata-mata"
🕵️‍♂️,🕵️‍♂️,"detektif_pria_laki-laki_penyelidikan_rahasia"
🕵️‍♀️,🕵️‍♀️,"detektif_wanita_penyelidikan_perempuan_rahasia"
💂,💂,"penjaga_pengawal"
💂‍♂️,💂‍♂️,"penjaga_pria_keamanan_laki-laki"
💂‍♀️,💂‍♀️,"penjaga_wanita_keamanan_perempuan"
🥷,🥷,"ninja_petarung_sembunyi-sembunyi_tersembunyi"
👷,👷,"pekerja_konstruksi_kontraktor_topi"
👷‍♂️,👷‍♂️,"pekerja_konstruksi_pria_kontraktor_laki-laki"
👷‍♀️,👷‍♀️,"pekerja_konstruksi_wanita_kontraktor"
🤴,🤴,pangeran
👸,👸,"putri_dongeng_fantasi_puteri"
👳,👳,"orang_mengenakan_serban_laki-laki_pria_surban"
👳‍♂️,👳‍♂️,"pria_mengenakan_serban_laki-laki"
👳‍♀️,👳‍♀️,"wanita_mengenakan_serban_perempuan"
👲,👲,"orang_dengan_topi_tionghoa_gua_pi_mao_pria"
🧕,🧕,"wanita_dengan_kerudung_hijab_mantilla_tichel"
🤵,🤵,"orang_bertuksedo_mempelai_pria_tuksedo"
🤵‍♂️,🤵‍♂️,"pria_dewasa_bertuksedo_tuksedo_tuxedo"
🤵‍♀️,🤵‍♀️,"wanita_bertuksedo_tuksedo"
👰,👰,"orang_berpenutup_kepala_cadar_mempelai_wanita_nikah_pengantin"
👰‍♂️,👰‍♂️,"pria_berpenutup_kepala_penutup"
👰‍♀️,👰‍♀️,"wanita_berpenutup_kepala_penutup"
🤰,🤰,"wanita_hamil_ibu_perempuan"
🤱,🤱,"menyusui_bayi_payudara"
👩‍🍼,👩‍🍼,"wanita_menyusui_bayi_mengasuh"
👨‍🍼,👨‍🍼,"pria_menyusui_bayi_mengasuh"
🧑‍🍼,🧑‍🍼,"orang_menyusui_bayi_mengasuh"
👼,👼,"malaikat_bayi_dongeng_fantasi_muka_wajah"
🎅,🎅,"sinterklas_dongeng_fantasi_natal_perayaan_santa"
🤶,🤶,"nyonya_sinterklas_ibu_nenek_oma"
🧑‍🎄,🧑‍🎄,"manusia_sinterklas_natal"
🦸,🦸,"pahlawan_super_baik_kekuatan_wanita"
🦸‍♂️,🦸‍♂️,"pahlawan_super_pria_baik_kekuatan"
🦸‍♀️,🦸‍♀️,"pahlawan_super_wanita_baik_kekuatan"
🦹,🦹,"penjahat_super_jahat_kekuatan_kriminal"
🦹‍♂️,🦹‍♂️,"penjahat_super_pria_jahat_kekuatan_kriminal"
🦹‍♀️,🦹‍♀️,"penjahat_super_wanita_jahat_kekuatan_kriminal"
🧙,🧙,"magi_penyihir_tukang_sihir"
🧙‍♂️,🧙‍♂️,"magi_pria_penyihir_tukang_sihir"
🧙‍♀️,🧙‍♀️,"magi_wanita_penyihir_tukang_sihir"
